stop_id,position_m,elevation_m
1,0.0,0.9934283060224653
2,521.7391304347826,0.716899703680096
3,1043.4782608695652,2.012276779881481
4,1565.217391304348,5.058336492697531
5,2086.9565217391305,4.590029743250859
6,2608.695652173913,4.121755829352498
7,3130.434782608696,7.280181460367281
8,3652.1739130434785,8.815050918673098
9,4173.913043478261,7.876102146803194
10,4695.652173913044,8.961222233975123
11,5217.391304347826,8.034386848350199
12,5739.130434782609,7.102927341209685
13,6260.869565217392,7.586851884341753
14,6782.608695652174,3.760291395026157
15,7304.347826086957,0.31045573000009163
16,7826.086956521739,-0.8141193284818538
17,8347.826086956522,-2.839781569150701
18,8869.565217391304,-2.2112869039601533
19,9391.304347826088,-4.027335055002575
20,9913.04347826087,-6.851942457673157
21,10434.782608695652,-3.9206449198300493
22,10956.521739130436,-4.3721975208031205
23,11478.260869565218,-4.237141111427273
24,12000.0,-7.086637483854187
